id,user_id,company,role,phone,password
1,1,Kris-Feest,dispatch,516-342-6256,CqxrHaoS
2,2,Harber-Raynor,dispatch,608-257-8494,DKAuP4YF
3,3,Harris-Bartell,dispatch,613-488-7332,5nqhcckx
4,4,Hoeger Group,shipper,709-794-0006,KynchI0C
5,5,Tremblay Group,dispatch,128-782-7189,osB9xLyA
6,6,Hand-Harber,port,596-911-3674,dujDxJnF
7,7,"Schoen, Rogahn and Walker",shipper,324-699-7830,DZjCLRzT
8,8,"Purdy, Ortiz and Orn",dispatch,377-765-5591,e1KZxoXD
9,9,Corwin Inc,port,739-349-2637,M4SMf1yK
10,10,"DuBuque, Quitzon and Stroman",port,954-398-0557,fgBD0OT5
